Import.export,Country,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Arab World,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,8183640257,7269235959,#VALUE!,10766502193,12919753227,18448068587,22218626368,20484226899,19364991548,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,19050660165,#VALUE!,18093537923,20441864128,19454886076,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,25967556989,26742730463,25615159588,30182902054,34159227136,44683472620,42768549140,#VALUE!,56122326896,76241051002,#VALUE!,99218207576,#VALUE!,1.10E+11,1.09E+11,1.14E+11,#VALUE!,94746068802
"Food export, current US$",Arab World,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,5550475532,4858671899,#VALUE!,#VALUE!,3004994294,4878487145,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4498160943,#VALUE!,3785180635,5352341246,6628499418,#VALUE!,#VALUE!,#VALUE!,#VALUE!,5986837452,5850564708,5182629916,4988480961,6820874330,#VALUE!,10645252807,15910429174,15296737953,15962584611,22332241424,23673887925,25819682580,31493244325,37261640899,33942418925,34673776477,35329467134,23344275518
,Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Argentina,#VALUE!,#VALUE!,52815667.33,40567587.92,63610066.79,77991474.57,74852831.35,72115491.68,64407016.71,107460435.3,98655836.49,94308593.91,123082372.3,206092355.9,172990992.6,179968570.9,144276161.2,219917364.7,216972100.9,478520695.8,597897689.3,470885374.5,235242527.9,174023502.3,206996177.5,179890120.6,325562604.5,265417618.1,201381042.1,151209905.2,164079224.5,446409819.2,888125851,913607484.5,1116931913,1099722563,1169853252,1618930520,1549131244,1253672038,1260133487,1162323365,416153696.7,580443287.9,740723676.5,813852855.4,881869924.8,1653428024,2608178494,1461987800,1488064936,1780391896,1692006548,1697887058,1580073823,1586765566,2025528003
"Food export, current US$",Argentina,#VALUE!,#VALUE!,869643343.9,984566828.4,1089204697,1219142703,1241393596,1125174761,995011560.5,1190950207,1317814025,1334874146,1392886767,2283173210,2771821677,2039417348,2672470198,3887749826,4188223331,5420165377,5210027690,6110810989,4766637181,5874547762,5950688068,5547303364,4565383295,3883374315,5448023934,5266658038,6949303693,7192989116,7464276800,7254124460,8131747317,10438578809,12363371372,12815963450,13391474539,11524994385,11531697247,11783218604,11767620717,14547968477,16582071928,18811247739,21001221747,28394295857,37190916637,28108517175,34870464634,45082132869,42921300029,42341065107,38178764111,35429690736,37650078293
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Armenia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,277978646.9,#VALUE!,207613397.5,223414575,216509333.8,201051109.1,229601357.9,292115719.6,332758929.7,349558965.3,590962966.3,826202200,641107166.8,679135372.4,818996382.3,811138757.7,909570793.3,858830364.1,644380152.5,628990197
"Food export, current US$",Armenia,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,25328168.09,#VALUE!,18701973.65,41565176.93,83704464.84,73506260.79,99049965.54,93592444.85,133519896.8,115356921.1,91773651.06,196748460.5,141362693.5,169071139.6,256599563.3,357761421,444931615,482553593.6,462700041.6,605210735.7
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Aruba,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,75894925.68,83895385.47,106256615.6,313539946.5,#VALUE!,#VALUE!,#VALUE!,372193995,490956542.6,501239407.8,289419362.6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,272309549.1,#VALUE!,#VALUE!,#VALUE!,672377272.7,443814239.6,1652985111,643478325.4,436420164.6,377119710.9,383130927.5,360751472.3
"Food export, current US$",Aruba,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,45498805.9,53357542.53,66200063.57,158736242.9,#VALUE!,#VALUE!,#VALUE!,482762512.5,263350351.7,598479185.2,267190603.3,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,48861866.82,#VALUE!,#VALUE!,#VALUE!,1484608405,217872213.7,4039670662,1062071199,211218488.4,176817565.2,197217843.9,151782016.6
,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Australia,#VALUE!,#VALUE!,#VALUE!,178320039.8,196678874.4,214919632.3,204373197.2,223886304.5,242531011.2,257817180.3,282679190.5,292381705.9,308408374.6,421951648.8,684705413.8,539177326,651462566,887830414.1,913299511.2,992352921.1,1165740481,1195733255,1219070648,1224985843,1439581180,1361785833,1393719664,1602783850,1887166597,2157988956,2118692288,2206152433,2251299554,2306139363,2696992773,3041744185,3189543871,3245052537,3163896175,3387513560,3299269971,3210434958,3605108003,4671082921,5339387421,6043143030,6854622162,8587789929,10033541938,9673313679,11050329788,12889908285,13505459812,14046981682,14907702513,13919648689,14342166893
"Food export, current US$",Australia,#VALUE!,#VALUE!,#VALUE!,1117198540,1214712558,1189407143,1152806775,1438761615,1202165788,1384458881,1622282413,1998408023,2384911069,3052696940,3805256014,4258684857,4313591945,4245367946,4251412587,6303070163,7555339651,6654773455,6543459217,5032024419,6626036417,5613562837,6171849714,6437279634,7454666590,8797061528,9040668442,8757301345,9452391058,10400579017,11854284976,11798982712,14981405028,15366984702,12441788183,13785411842,13190199171,13622612347,14148404420,13590218614,18832496880,17855198223,18993712607,19139564636,23097025896,21714882063,24004839525,31360940351,32809690412,33138200297,33788785474,32267098540,30289916489
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Austria,#VALUE!,#VALUE!,#VALUE!,242554675,258446521.9,318495256.2,328104772.9,294839034.2,283266780.7,289166698.5,338202385.1,402730197.5,474308300.4,682657624.7,728373864,774039754.7,906347689.4,1124123249,1235296371,1406010123,1573359383,1390954966,1318555575,1285241718,1280637673,1336209388,1738842293,1976870628,2065854830,2134344860,2557728604,2631489472,2764517686,2660054030,3012356713,3773426402,4162305401,4267984375,4420452881,4497340634,3935784687,4324981736,4819788792,6112477833,7104287586,7753842519,8044720613,10234609068,12472064282,11247585026,11597689223,13503449002,13143663058,14087327916,14385389344,12505601068,12855012996
"Food export, current US$",Austria,#VALUE!,#VALUE!,#VALUE!,73694402.2,67907222.58,87250939.62,80062233.47,106195989.9,94122206.27,110426947.9,133451100.8,153358316.4,213680164.2,239100411.8,274124537.2,312396049.9,362587792.6,368619824.2,490814099.4,621203067.6,727250844.8,695831575.2,728981915,704029348.3,733398902.6,738539374,874053203,942831240.4,1085776659,1175511307,1369011789,1338143954,1487550247,1430273944,1688477745,2218832001,2625747670,2853583978,3081467180,3583259303,3222845125,3633589563,4172865910,5821717495,6903337899,7731198298,8265959864,10119536289,11886001347,10087067037,10579676470,12365595751,11857432211,12836458574,13117394260,11299888090,11775744255
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Food import, current US$",Azerbaijan,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,375726397.6,179599736.3,174304049.6,204503398.4,217708341.2,231208793.9,235725404.8,308543627.4,411192272.6,455613916.8,550853718.2,955848820.9,1182659629,1025448778,1251041996,1433794045,1521099818,1624879696,1634745954,1419679544,1636217662
