Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Tajikistan,TJK,Population density (people per sq. km of land area),EN.POP.DNST,..,15.42679337,15.98009431,16.56364676,17.16545442,17.7763361,18.39461989,19.02152758,19.65510146,20.29338382,20.93531723,21.58054444,22.22979423,22.88531723,23.55032152,24.22792941,24.91891969,25.6252858,26.35337954,27.11096742,27.90401543,28.7283581,29.58198771,30.47494999,31.42013432,32.42227779,33.49046156,34.60990283,35.7328451,36.79532724,37.75231495,38.58695342,39.31476136,39.96366819,40.57707202,41.18898257,41.80733781,42.42930123,43.06507574,43.72435696,44.41512575,45.14513432,45.91931266,46.73868963,47.60209346,48.50900972,49.46118177,50.46207488,51.51421835,52.62041298,53.78246642,54.99792798,56.26489711,57.58623178,59.46445054,60.91237121,62.42221342,63.98348584,65.57271417
Tajikistan,TJK,"Population, total",SP.POP.TOTL,2087049,2159134,2236574,2318248,2402477,2487976,2574511,2662253,2750928,2840262,2930107,3020413,3111282,3203029,3296103,3390941,3487652,3586515,3688419,3794451,3905446,4020821,4140295,4265274,4397562,4537822,4687325,4844002,5001169,5149874,5283814,5400630,5502494,5593315,5679167,5764810,5851355,5938405,6027388,6119661,6216341,6318513,6426867,6541547,6662389,6789321,6922587,7062672,7209930,7364753,7527394,7697510,7874835,8059769,8252833,8454028,8663579,8880268,9100837
Tanzania,TZA,Population density (people per sq. km of land area),EN.POP.DNST,..,11.68062429,12.02524498,12.38224769,12.75195417,13.13482953,13.53063897,13.94015466,14.36613457,14.81212463,15.28051592,15.77296794,16.28848499,16.82350756,17.37292391,17.9332005,18.50322759,19.08468503,19.68024046,20.2937706,20.9282671,21.58577557,22.26611199,22.96742718,23.68680966,24.42289004,25.17079025,25.93271619,26.72251976,27.55897268,28.4532005,29.41588846,30.4371156,31.48250508,32.50467261,33.47159065,34.36952585,35.21433394,36.03995936,36.89573154,37.81799503,38.81898397,39.89025514,41.02255814,42.19887898,43.40745089,44.64739557,45.92618424,47.24988033,48.62704222,50.06381237,51.5616821,53.11862836,54.73274554,56.4007925,58.11992888,59.89025739,61.71134116,63.5790788
Tanzania,TZA,"Population, total",SP.POP.TOTL,10052152,10346697,10651962,10968195,11295681,11634832,11985440,12348189,12725522,13120580,13535481,13971695,14428340,14902263,15388936,15885229,16390159,16905214,17432757,17976222,18538259,19120680,19723322,20344547,20981776,21633796,22296286,22971200,23670808,24411738,25203845,26056594,26961197,27887203,28792639,29649135,30444526,31192857,31924196,32682239,33499180,34385856,35334788,36337782,37379767,38450320,39548663,40681414,41853944,43073834,44346525,45673338,47052481,48482266,49959822,51482633,53050790,54663906,56318348
Thailand,THA,Population density (people per sq. km of land area),EN.POP.DNST,..,55.24513496,56.92211239,58.65619801,60.44576719,62.28867271,64.18041066,66.1175576,68.09960853,70.12682182,72.19662941,74.30812504,76.4520797,78.60710133,80.74600012,82.84819041,84.90530447,86.91871832,88.89013291,90.82533226,92.72929985,94.59232712,96.41194778,98.20885905,100.0114858,101.8358179,103.7015679,105.5919689,107.4429329,109.1666875,110.7052125,112.025025,113.1574723,114.18852,115.2405978,116.3993697,117.6969328,119.0991838,120.5447415,121.9412613,123.2215193,124.3696216,125.4068136,126.3478753,127.2197518,128.0435886,128.8193858,129.5426941,130.2256533,130.8830453,131.5254321,132.158355,132.7799663,133.3839006,133.9598152,134.4996203,135.0023117,135.4691969,135.8972068
Thailand,THA,"Population, total",SP.POP.TOTL,27397207,28224187,29080938,29966865,30881138,31822660,32789130,33778799,34791409,35827092,36884536,37963278,39058603,40159582,41252324,42326312,43377271,44405904,45413080,46401754,47374472,48326274,49255900,50173924,51094868,52026901,52980094,53945881,54891520,55772169,56558186,57232465,57811021,58337773,58875269,59467274,60130186,60846582,61585103,62298571,62952642,63539196,64069087,64549866,64995299,65416189,65812536,66182067,66530984,66866839,67195028,67518382,67835957,68144501,68438730,68714511,68971331,69209858,69428524
Timor-Leste,TLS,Population density (people per sq. km of land area),EN.POP.DNST,..,32.47168796,33.05790182,33.66825824,34.29952925,34.94862139,35.59697377,36.24135844,36.90820444,37.63456624,38.43745797,39.35783457,40.36260928,41.30820444,42.00100874,42.31519839,42.18231338,41.68231338,41.02582381,40.50827169,40.34330868,40.60806994,41.2399462,42.14357767,43.16368527,44.18648285,45.17498319,46.16482851,47.19630128,48.33496974,49.61761937,51.07780767,52.66967048,54.26092804,55.67081372,56.78103564,57.52266308,57.9600538,58.27370545,58.71795562,59.47316745,60.60618695,62.05070612,63.69253531,65.35931406,66.92232683,68.35453934,69.69683927,70.97720242,72.24458642,73.53887021,74.85884331,76.19327505,77.55850706,78.97316745,80.45070612,81.99650303,83.60867518,85.27047747
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,474532,482854,491571,500647,510034,519686,529327,538909,548825,559626,571565,585251,600192,614253,624555,629227,627251,619816,610054,602358,599905,603842,613238,626675,641844,657053,671752,686471,701809,718741,737814,759527,783198,806860,827825,844334,855362,861866,866530,873136,884366,901214,922694,947108,971893,995135,1016432,1036392,1055431,1074277,1093523,1113151,1132994,1153295,1174331,1196302,1219288,1243261,1267972
Togo,TGO,Population density (people per sq. km of land area),EN.POP.DNST,..,29.37168597,29.65168229,30.00117669,30.55842986,31.41441441,32.61682295,34.1136606,35.77459092,37.41325611,38.89542195,40.18499724,41.32344181,42.34868542,43.3282221,44.31781577,45.31022247,46.30367715,47.367016,48.58790219,50.0246185,51.70632469,53.60580989,55.65311638,57.74675492,59.80867807,61.83199117,63.83046516,65.77437029,67.63314948,69.39349145,71.02393822,72.54835448,74.07709138,75.76054422,77.70345652,79.95596617,82.47749586,85.17091377,87.89203898,90.53873874,93.07900349,95.55122265,98.00770362,100.528884,103.1741129,105.9547711,108.8501379,111.8481338,114.9261813,118.0672734,121.2712447,124.5414047,127.8676411,131.2373047,134.6416253,138.0759698,141.5421033,145.0467733
Togo,TGO,"Population, total",SP.POP.TOTL,1580513,1597526,1612755,1631764,1662073,1708630,1774029,1855442,1945780,2034907,2115522,2185662,2247582,2303345,2356622,2410446,2464423,2518457,2576292,2642696,2720839,2812307,2915620,3026973,3140846,3252994,3363042,3471739,3577468,3678567,3774312,3862992,3945905,4029053,4120616,4226291,4348805,4485951,4632446,4780448,4924402,5062567,5197031,5330639,5467766,5611640,5762880,5920359,6083420,6250835,6421679,6595943,6773807,6954721,7137997,7323158,7509952,7698475,7889094
