Country Name,Country Code,Series Name,Series Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Belgium,BEL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,327.8918269,313.8371257,339.8559524,329.143535,316.4524941,316.3933254,328.9123223,246.25,279.1702638,286.1963636,294.0373599,286.6139706,287.1566707,283.9059675
Belize,BLZ,Arable land (hectares),AG.LND.ARBL.HA,70000,70000,70000,70000,70000,70000,70000,73000,75000,75000,78000,78000,78000,78000
Belize,BLZ,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,367.7285714,382.3714286,78.65714286,81,89.25714286,60.87142857,49.75714286,121.4383562,58.01333333,234.7066667,140.0705128,176.499359,170.5779487,431.6491026
Benin,BEN,Arable land (hectares),AG.LND.ARBL.HA,2550000,2650000,2750000,2700000,2500000,2500000,2600000,2450000,2540000,2580000,2700000,2700000,2700000,2700000
Benin,BEN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,16.36666667,0.802264151,0.052727273,0.454074074,0.0132,0.2456,0.308076923,6.67755102,8.99015748,4.302325581,9.909292593,5.002277778,15.53546296,11.29034444
Bermuda,BMU,Arable land (hectares),AG.LND.ARBL.HA,400,400,400,400,400,400,300,300,300,300,300,300,300,300
Bermuda,BMU,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Arable land (hectares),AG.LND.ARBL.HA,111000,111000,158000,167000,151300,136300,100000,100000,100600,100200,100200,100200,100200,100200
Bhutan,BTN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.756756757,9.891891892,7.398734177,7.556886228,7.620621282,9.009537784,11.66,23.96,10.03976143,13.05389222,10.68802395,15.18263473,15.15469062,15.15469062
Bolivia,BOL,Arable land (hectares),AG.LND.ARBL.HA,3300000,3514000,3579000,3806000,3905000,4171000,4266000,4454000,4297000,4338000,4367000,4396000,4472500,4472500
Bolivia,BOL,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,4.042727273,3.675583381,5.064263761,6.472937467,3.963636364,5.88731719,4.708860759,5.155365963,7.255527112,8.017058552,8.052715823,9.962859418,8.99183678,9.066752376
Bosnia and Herzegovina,BIH,Arable land (hectares),AG.LND.ARBL.HA,997000,1017000,1028000,1025000,1027000,1022000,1008000,997000,1004000,1005000,1003000,1010000,1011000,1029000
Bosnia and Herzegovina,BIH,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,32.69809428,17.65683382,58.442607,24.63707317,15.48393379,21.30039139,11.87103175,72.71213641,81.52988048,103.3781095,120.7439781,101.5346931,119.4406429,128.0375996
Botswana,BWA,Arable land (hectares),AG.LND.ARBL.HA,245000,195000,226000,240000,201000,182000,279000,316000,259000,324000,285000,277000,399000,399000
Botswana,BWA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,48.60443038,83.12741313,29.67901235,54.83508772,81.3898917,58.27819549,58.59649123
Brazil,BRA,Arable land (hectares),AG.LND.ARBL.HA,61504000,64634000,68327000,69157000,69538000,68388000,70250000,70440000,70363000,72273000,72607000,76008100,80017000,80017000
Brazil,BRA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,120.8408396,152.3052418,150.9459511,120.1003514,124.0318675,165.1697374,141.838605,118.2567433,156.1898725,183.014805,177.579044,175.6601467,175.1958959,163.665921
British Virgin Islands,VGB,Arable land (hectares),AG.LND.ARBL.HA,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
British Virgin Islands,VGB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Arable land (hectares),AG.LND.ARBL.HA,2000,2000,2000,2000,2000,3000,3000,4000,4000,4000,4000,5000,5000,5000
Brunei Darussalam,BRN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,336,102,151.5,308.5,66,377,112.6666667,103,431.75,117.5,113.5,44.6,141.8,141.8
Bulgaria,BGR,Arable land (hectares),AG.LND.ARBL.HA,3355000,3323000,3313000,3173000,3132000,3085000,3088000,3146000,3186000,3250000,3317000,3479000,3486000,3509700
Bulgaria,BGR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,113.7684054,147.327415,80.85179596,74.23195714,73.93997446,102.0094003,111.2428756,104.600445,97.05335844,133.0824615,95.86976183,109.1382581,108.8032129,112.0155569
Burkina Faso,BFA,Arable land (hectares),AG.LND.ARBL.HA,4700000,5100000,4600000,4900000,4700000,4900000,6000000,5700000,6000000,5700000,6000000,6200000,6000000,6000000
Burkina Faso,BFA,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.427659574,10.39137255,12.54065217,15.24367347,13.40425532,10.10102041,9.5345,9.451929825,9.4285,10.70245614,13.56697167,15.46079677,15.88075667,16.288695
Burundi,BDI,Arable land (hectares),AG.LND.ARBL.HA,986000,990000,985000,956000,900000,850000,900000,950000,950000,1000000,1100000,1200000,1200000,1200000
Burundi,BDI,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,1.343813387,0.304040404,1.111675127,3.546025105,3.343333333,2.018823529,2.171111111,1.861052632,3.627368421,5.635,5.7956,7.104041667,10.81514167,8.33625
Cabo Verde,CPV,Arable land (hectares),AG.LND.ARBL.HA,47000,47000,48000,48000,48000,48000,50000,50000,50000,50000,55000,55000,50000,50000
Cabo Verde,CPV,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Arable land (hectares),AG.LND.ARBL.HA,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3700000,3800000,3800000,3800000,3800000,3800000,3800000
Cambodia,KHM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,5.825675676,3.857837838,5.365945946,8.105135135,8.002702703,8.99027027,7.641351351,10.09567568,12.11789474,16.28421053,24.08851053,19.08442632,21.26415526,25.77449737
Cameroon,CMR,Arable land (hectares),AG.LND.ARBL.HA,5960000,5960000,5960000,5963000,5963000,5963000,5963000,5963000,6200000,6200000,6200000,6200000,6200000,6200000
Cameroon,CMR,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,9.768624161,8.155201342,11.06275168,7.998993795,9.032198558,8.622840852,6.557437531,7.002850914,9.239032258,11.03596774,10.33573387,10.05833871,9.621035484,13.63044839
Canada,CAN,Arable land (hectares),AG.LND.ARBL.HA,45726000,45573000,45419000,45266000,45112000,44683000,44254000,43826000,43397000,42968000,43127600,43287200,43446800,43606400
Canada,CAN,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,57.63016664,58.92761065,54.63277483,61.82127866,46.99494591,68.60414475,63.96407104,62.20875736,69.17558817,84.07826755,94.15243394,84.2281321,89.4197041,91.61499229
Caribbean small states,CSS,Arable land (hectares),AG.LND.ARBL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Caribbean small states,CSS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,109.690571,84.88571429,73.20762155,57.86871318,87.92166913,48.0933721,114.6178747,58.02754821,81.27398206,75.46217331,83.39711749,93.689,94.27528859,113.9667248
Cayman Islands,CYM,Arable land (hectares),AG.LND.ARBL.HA,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Cayman Islands,CYM,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Arable land (hectares),AG.LND.ARBL.HA,1930000,1910000,1930000,1930000,1930000,1930000,1930000,1950000,1800000,1800000,1800000,1800000,1800000,1800000
Central African Republic,CAF,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,..,..,..,..,..,..,..,..,..,0.417777778,0.281838889,0.281111111,0.281111111,0.340972222
Central Europe and the Baltics,CEB,Arable land (hectares),AG.LND.ARBL.HA,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central Europe and the Baltics,CEB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,91.30267906,102.4526747,100.5654141,106.6059681,108.3578432,120.1232188,112.6179625,96.5654751,113.3360107,115.1908884,116.0327073,120.3687515,115.5273342,125.3933627
Chad,TCD,Arable land (hectares),AG.LND.ARBL.HA,3700000,3800000,3800000,4500000,4450000,4300000,4300000,4300000,4500000,4900000,4900000,4900000,4900000,4900000
