Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Mauritania,76.66,78.45,80.68,81.97,86.73,86.29,88.43,91.05,90.78,91.05,91.23,86.42,83.19,80.18,78.94,78.69,80.54,84.62,84,84.69,90.24,89.98,87.46,84.28,93.87,96.11,94.58,98.23,100.25,94.79,100,97.99,104.4,110.93,111.24,115,115.32,118.45,124.47,123.57,130.72,124.02,134.05,131.9,136.34,140.13,140.11,137.08,142.18,150.56,141.32,152.25,155.84,156.56
Niger,40.56,42.74,43.96,45.44,46.98,48.97,54.45,56.52,60.65,61.44,65.36,66.71,59.23,58.79,63.94,71.3,77.88,80.22,82.37,88.87,95.96,96.16,96.58,87.28,86.01,85.09,89.54,92.17,98.03,107.05,100,114.9,113.5,124.97,134.01,135.21,117.93,124.62,143.44,142.63,152.3,158.02,162.23,157.03,170.81,183.43,187.48,190.91,196.43,219.05,212.68,227.92,233.17,247.43
Senegal,61.58,60.73,65.14,67.64,73.2,76.01,79.92,78.25,75.58,75.88,79.76,79.13,82.26,88.12,90.31,89.61,89.17,92.03,87.88,86.64,88.81,88.89,85.21,85.52,91.12,91.06,94.64,97.45,94.54,97.35,100,102.16,106.52,110.81,108.19,113.52,112.01,109.45,124.36,125.26,122.91,124.36,122.29,123.72,127.35,125.08,126.17,142.92,146.85,155.62,146.73,147.83,151.63,153.34
Angola,56.25,60.62,62.34,65.76,68.56,70.81,74.44,75.97,80.35,82.65,86.43,87.62,90.19,90.56,88.83,86.01,87.94,89.71,89.92,90.3,92.03,92.96,95.01,95.37,97.45,101.09,101.07,99.7,99.88,97.14,100,104.26,106.48,104.38,103.08,107.53,111.16,121.15,121.29,132.35,140.27,146.59,152.58,164.71,174.41,178.26,186.18,177.86,207.08,213.82,225.91,201.84,242.91,242
Botswana,71.04,62.67,63.53,64.09,61.1,62.07,73.32,70.66,79.37,82.89,87.57,82.51,86.91,90.99,93.78,101.21,104.99,99.1,93.01,104.77,107.73,95.83,94.83,94.35,98,97.85,97.49,111.47,114.14,110.02,100,93.55,94.54,108.11,108.15,116.64,111.19,104.23,113.36,118.4,103.76,105.03,96.55,106.22,106.56,110.73,102.4,113.54,121.26,125.36,125.95,113.14,111.87,115.94
Comoros,53.43,55.38,58.25,60.5,64.44,67.16,67.43,67.63,69.33,70.62,71.96,72.51,73.94,75.16,75.88,77.05,80.41,83.71,84.64,85.33,87.04,87.59,87.41,86.49,91.45,91.38,93.03,94.91,97.76,98.65,100,102.22,105.3,106.57,109.88,113.93,116.07,121.62,126.08,126.26,128.56,129.48,128.25,130.91,130.47,136.36,138.41,141.24,143.51,146.86,147.97,148.18,153.19,154.17
Lesotho,86.27,88.58,87.43,87.24,94.1,89.18,97.59,99.59,102.61,109.43,111.25,105.68,104.53,111.08,103.8,100.05,94.03,100.46,99.92,103.35,105.79,104.7,101.89,104.51,112.34,108.73,120.94,126.5,116.49,114.09,100,105.25,106.27,125.02,92.17,114.58,111.43,95.82,120.66,121.48,130.73,117.11,116.63,112.58,114.75,128.99,116.26,115.73,114.67,120.48,111.79,105.97,107.19,111.63
Madagascar,57.18,59.65,61.06,62.97,65.29,69.15,70.97,72.54,73.02,72.39,71.89,73.45,74.61,75.68,77.08,79.36,82.17,86.14,87.33,89.44,91.52,91.54,92.98,92.78,94.64,96.49,95.07,95.9,98.51,99.11,100,100.38,102.39,101.14,102.57,103.61,105.04,105.24,106.47,106.06,101.78,99.12,101.61,104.44,114.26,116.17,116.57,119.33,124.05,126.8,126.23,128.69,124.39,125.19
Malawi,42.42,43.14,44.04,45.23,49.23,49.99,51.67,54.89,56.89,58.58,61.79,64.21,67.1,67.49,68.44,73.31,74.33,77.31,77.97,77.37,82,84.2,84.89,86.97,87.48,90.72,94.11,91.73,93.35,95.31,100,98.94,101.56,89.02,97.49,101.09,101.02,106.34,108.83,117,115.58,118.16,124.98,129.94,130.54,141.26,142.5,156.1,162.08,174.05,178.03,191.22,200.39,197.69
Mauritius,79.14,80.82,82.57,83.93,84,82.9,84.31,84.72,84.26,84.51,83.46,85.93,83.82,80.97,78.9,77.99,84.68,82.74,84.73,91.86,88.89,90.4,91.24,91.61,92.16,94.06,96.97,97.33,101.12,100.35,100,103.37,105.83,106.86,108.29,109.01,108.19,106.64,108.37,111.32,110.1,113.17,111.51,108.68,108.57,106.68,110.74,110.46,109.17,109.93,108.66,105.37,104.97,103.26
Mozambique,66.49,67.8,69.07,72.79,74.91,75.22,77.56,80.63,83.12,83.6,88.95,91.09,94.81,92.43,90.77,91.67,92.68,95.69,98.47,102.09,106.26,105.58,99.01,93.43,94.39,94.29,93.15,87.26,89.51,94.55,100,100.42,99.81,107,113.97,117.24,119.46,124.15,122.89,129.53,129.31,140.89,128.65,139.75,146.76,150.19,159.33,181.7,168.86,179.74,186.62,180.2,191.57,197.5
Namibia,67.4,68.87,70.04,71.8,74.03,75.8,77.21,78.75,80.01,80.81,82.84,83.92,84.79,86.8,79.57,80.14,85.64,85.92,87.12,88.64,85.02,82.08,82.14,82.63,82.41,84.89,84.44,87.33,90.05,98.39,100,102.02,99.46,105.11,104.8,108.87,111.97,108.08,113.79,118.71,110.91,108.16,112.48,109.83,118.04,111.93,108.09,109.79,113.01,112.52,109.53,118.07,108.86,114.83
Réunion (France),79.96,80.96,80.93,81.55,84.68,85.96,84.09,82.08,85.51,85.97,90.22,88.54,84.02,85.53,87.31,95.42,99.01,95.72,96.58,99.26,103.34,101.63,101.27,98.51,98.71,97.56,98.89,101.63,96.78,95.98,100,99.13,94.41,94.85,95.73,96.54,99.13,97.33,100.74,96.33,94.23,95.83,96.9,97.91,99.75,98.03,97.05,94.64,94.96,94.75,90.46,92.16,91.79,85.28
