Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Namibia,88.66,96.25,113.47,153.19,229.83,265.19,309.36,359.1,428.82,485.75,597.05,636.48,685.22,581.68,617.05,709.08,992.41,990.53,903,916.38,1149.78,967.52,1107.41,961.38,1011.26,1008.56,921.41,885.76,1052.08,857.3,946.32,953.02,1069.94,1467.1,1530.2,1699.04,1911.16,1502.84,1775.12,1687.78,1378.15,1223.59,1629.78,1732.48,1782.36,2083.73,1544.83,1473.22,2158.81,2472.27,2113.2,2029.23,2415.05,2289.22
Réunion (France),35.92,37.55,44.66,53.76,71.69,76.73,78.84,87.58,107.02,122.23,159.19,160.77,138.52,113.7,116.18,137.98,171.59,192.31,183.02,182.26,237.12,191.36,215.59,185.32,229.32,225.54,213.52,199.24,213.08,183.06,197.69,213.27,191.57,174.15,186.59,208.87,215.57,206.97,224.71,188.88,178.62,178.14,210.11,217.05,249.38,271.94,228.2,232.87,268.34,302.93,272.89,262.87,338.64,237.84
Swaziland,113.99,117.96,128.97,156.75,219.2,259.11,302.77,348.07,406.82,473.13,411.77,447.3,498.45,405.86,414.61,472.76,550.15,605.98,617.06,640.46,703.94,576.65,565.44,651.3,741.66,673.93,648.72,748.4,834.55,640.62,604.02,625.74,633.8,580.71,634.43,718.22,848.42,795.71,943.65,768.65,611.6,667.6,723.35,687.31,793.41,791.56,707.96,781.1,868.51,1098.05,888.4,900.55,1332.98,1263.15
Zambia,9800,10000,8000,8000,8000,12200,14800,19100,16500,27100,49600,40900,43500,62000,53500,63500,71100,51800,56200,78600,86900,83200,68600,56200,80200,77000,95300,86900,79300,59500,62500,84500,85400,59000,55000,51400,56700,36700,34100,32100,35400,50800,52000,42700,35000,46800,35400,41500,48700,43900,37200,40700,185800,176300
Zimbabwe,58500,47000,62600,67600,72700,74200,86500,86000,96200,109300,134400,147000,152000,154500,151500,136000,96200,111300,121400,158000,173000,154100,154500,133000,170100,157800,135900,152400,158200,161000,164300,113600,172900,170700,145000,168000,175000,175000,185000,165300,152200,110000,45000,41000,40000,38000,47000,37600,39400,65000,72600,73000,87500,116300
Benin,799.85,874.83,996.17,1154.05,1551.65,1591.55,1885.14,2062.29,2381.45,2770.21,2976.72,3188.81,3262.67,2576.14,2329.24,2715.88,3906.12,4832.27,4250.35,3766.95,5121.68,4192.95,4832.36,4468.7,5406.26,5253.54,4488.8,4807.03,5458.43,4605.6,5535.04,5974.71,6516.89,6007.99,7387.61,8898.65,9940.51,10043.96,11108.32,10224.35,9539.46,10571.88,10927.66,11510.8,12765.15,11553.91,11795.57,13756.96,15801.88,17779.77,15161.72,16845.12,22368.35,19899.39
Côte d'Ivoire,7500,6200,9100,10700,13500,12500,13300,12100,14800,22600,24000,30200,29800,30900,37700,37300,46000,41000,50200,53100,44700,39200,37700,41500,41500,30000,21900,27500,35000,37000,38700,37000,54000,65000,66000,70500,110000,85000,70000,67000,62500,104400,88200,77000,73000,81000,80000,65000,64000,65500,75000,79000,119000,137000
Ghana,718,1930,2100,1473,1134,1200,1319,1356,1188,3343,2885,4502,6642,9729,24500,20500,31200,19000,18500,12000,29000,27100,21400,8400,12500,7600,10886,12655,8480,13000,8000,10100,7568,7700,9700,17400,21316,15184,15406,11886,31027,15660,28621,52802,23995,84251,76368,65473,87306,86395,62448,163361,118718,73800
Guinea,925.59,969.97,1120.24,1385.43,1821.95,2014.11,2263.8,2565.32,2921.74,3410.69,3970.3,4112.99,4340.48,3691.45,3819.78,4465.2,6091.14,6143.26,5565.69,5635.72,7125.44,5896.21,6642.21,5960.05,6808.11,6449.87,6007.77,5599.36,6629.75,5747.8,6806.5,7905.85,8609.57,7806.4,8956.1,10302.81,11116.34,10916.45,12320.55,11279.89,10197.26,10643.7,12256.08,13206.57,15482.81,17067.19,15414.31,16312.65,18357.7,21207.44,18921.09,19257.03,25311.87,22790.31
Guinea-Bissau,202.91,216.27,248.33,328.14,406.76,409.32,423.8,455.4,506.42,571.94,627.3,667.33,702.72,653.25,774.98,946.97,1242.01,1171.73,1091.84,1132.93,1596.35,1585.94,1637.97,1391.06,1187.36,1161.47,944.04,746.42,1026.08,871.96,939.21,1093.68,1185.98,1086.65,1297.41,1409.3,1680.41,1685.05,2076.99,2027.93,1795.06,1798.1,1941.35,2078.63,2280.87,2477.06,2231.12,2326.95,2628.12,3145.68,2767.96,2737.64,3895.29,1868.16
Liberia,321.94,347.29,438.02,558.76,776.03,623.61,670.67,771.36,908.31,1133.8,1387.96,1462.41,1557.15,1386.94,1352.91,1551.1,2113.78,2104.2,1914.12,1926.41,2511.36,2086.94,2363.39,2016.71,2310.87,2241.47,2107.28,1909.03,2305.23,1326.22,1093.66,1293.02,1137.85,851.27,966.81,1283.17,1883.87,2113.42,2398.07,2222.47,1968.39,1960.53,2194.73,2307.82,2662.21,2751.39,2710.01,2676.72,3130.49,3607.48,3433.79,3228.03,3954.05,2702.29
Nigeria,1400,2500,3500,2900,3600,4600,11800,10700,9200,11000,13100,15600,12200,28300,56400,109800,93100,79100,107000,176400,248700,210300,259500,266200,222600,256700,235100,325200,368400,413200,429200,440000,461000,296000,183000,173500,137700,163200,167700,187500,213100,160600,198700,182200,222300,228000,225300,497900,439100,605100,432400,336800,528700,383700
Sierra Leone,403.18,401.79,481.56,588.01,841.59,939.83,1062.32,1117.66,1247.81,1465.62,1785.31,1865.85,1965.56,1693.85,1761.99,2085.37,2872.96,2945.85,2543.46,2587.85,3244.77,2712.15,2909.47,2350.71,2957.18,2867.61,2765.9,2644.85,3096.9,2622.71,2927.4,2877.77,3202.27,2787.25,2731.66,3189.95,3632.25,3230.69,2888.23,2271.72,2784.39,3500.75,5153.38,6164.5,7147.02,8871.91,6080.54,6460.47,7986.61,9844.97,9174.17,8116.23,11071.56,10517.16
Togo,532.21,573.57,743.3,960.03,1397.9,1700.4,1667.81,1656.58,1599.58,2026.74,2259.37,1845.77,2049.83,1584.12,1643.45,1961.71,2743.29,2903.15,3113.23,3502.43,4080.87,3395.12,3890.62,3696.28,4003.21,4030.02,3893.87,3843.51,4541.18,3942.2,4061.15,4363.4,5738.22,5271.88,5640.9,7355.96,7186.11,7111.48,7237.73,6385.81,5829.54,5881.24,6530.94,6997.85,7636.14,8656.28,7535.01,7902.44,9459.83,11010.17,9789.46,11815.14,15707.94,16080.07
Bahamas ,44.28,48.94,57.09,70.2,77.01,70.64,99.48,111.72,107,125.71,109,157.74,168.19,179.81,153.98,156.7,146.96,140.65,137.3,141.26,179.45,146.65,159.91,174.62,160.27,199,206.14,200.64,206.08,224.9,189.04,182.41,198.97,186.65,176.01,225.83,293.28,283.94,297.72,343.87,320.45,658.62,685.54,500.55,395.98,276.2,290.83,190.23,335.52,435.65,356.92,344.61,400.38,169.39
Cuba,130800,132800,172300,201000,230000,309000,325300,448500,466700,396300,292000,228900,277300,307500,373700,372000,413400,454800,470100,529500,604600,554100,528100,588600,585300,663000,654100,599600,661400,580000,365000,249500,172000,124100,244000,235000,239400,169300,150500,130400,143000,80500,47200,33700,79900,126100,97000,109100,72000,104800,113100,119300,120200,151300
Dominican Republic,13400,11000,8500,10000,12000,16000,17700,16300,26100,33700,51000,73100,67200,73400,73900,62800,56900,57100,64900,53400,58700,60500,42000,59400,61000,58000,72800,62900,79900,92300,94700,83900,78200,90700,94000,91900,108900,97800,93700,86600,97600,103700,91400,93700,78000,99300,91900,94200,101900,118200,111100,99200,83800,103600
Haiti,17231.49,17923.1,20227.22,24295.75,25861.52,20195.52,25971.39,29100.95,29805,31464.48,32434.76,35141.11,35983.83,36298.14,28400.11,27042.06,27000.92,29898.31,29621.29,29579.23,34522.66,28160.47,33195.68,34825.42,30506.28,38962.34,39867.88,38055.58,37220.6,36246,33916.2,35120.98,37913.79,37103.67,33722.49,42035.94,56989.67,52101.49,54867.73,56476.84,46259.14,103444.53,110673.19,80515.4,68295.08,43745.24,57787.55,34522.33,55172.48,71580.2,66694.78,59974.47,77725.86,59490.41
Jamaica,3628.22,3827.7,3952.25,4678.51,4809.15,3714.96,4719.27,5266,4999.24,5378.33,5739.38,6296.15,6319.88,6866.83,5480.73,5370.36,4727.55,4938.66,4549.88,4759.66,5495.96,4398.11,5050.7,5431.98,4648.42,5581.38,5866.41,5256.94,4799.31,5396.78,4913.99,5224.25,6324.64,6503.79,6039.15,8053.86,9609.34,8761.34,8841.44,8338.67,6925.75,16510.89,17200.3,11881.23,8950.99,6484.68,6833.96,4401.98,6156.37,6820.93,6933.26,6656.04,7999.59,5029.45
Lesser Antilles,2541.16,2677.5,3014.43,3546.09,3764.85,2959.7,3552.71,4043.64,3958.67,3908.71,4071.17,4270.28,4299.67,4417.21,3334.5,3310.72,3161.51,3287.99,3015.2,2946.65,3606.45,2904.79,3196.48,3344.15,3677.93,4842.42,5036.74,4943.78,4893.49,5069.74,4374.04,4555.17,5205.29,4420.94,4173.61,5293.63,6754.93,6398.13,6363.62,6252.58,5452.53,12655.69,13664.47,9397.67,6120.97,4061.29,4358.5,2869.39,3969.98,5024.46,4508.72,4395.79,5558.98,2573.29
