Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Kyrgyz Republic,KGZ,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.80981556,28.39215124,..,30.10047899,15.81698827,16.95920242,18.90876643,17.62729693,15.94234767,18.41081008,11.71726497,18.6636913,22.65929185,15.44345499,23.91832125,29.98400187,25.81440472,24.71720828,28.52713542,..,18.29444924,20.04810516,..
Lao PDR,LAO,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,37.12738737,30.45103862,30.94413572,31.99624764,40.88655174,38.09538478,38.49325389,31.35465758,23.85135973,25.35229762,33.84872308,33.2268459,31.66700143,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.80253821,7.257574031,6.187108471,4.169203007,4.167173332,5.26710375,13.47251105,..
Lao PDR,LAO,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,25.49235463,18.00469428,8.906833402,11.92110557,21.09835936,16.16056463,7.834269104,7.909772822,5.503530428,1.5242204,1.05757421,0.811848924,2.561027937,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.96998104,13.07245568,17.4399784,15.3455389,18.3144883,22.17728809,30.590574,..
Late-demographic dividend,LTE,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.911924396,6.427591295,7.208783986,8.419253561,8.721510392,9.563662324,8.700069746,8.281168068,7.613489815,6.344567613,6.663176985,7.906667594,8.559767923,7.89162429,8.101204841,7.520371713,7.167670044,7.297153158,6.999789826,6.732035231,6.410296647,6.040419327,5.619774338,5.966174844,6.603617714,7.480931497,7.058938979,6.993639764,7.291171409,7.486167688,7.712901554,8.412537471,8.379827143,..
Late-demographic dividend,LTE,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.61083897,..,18.96476257,18.66998043,..,15.81662586,15.13088202,13.97768185,13.63113391,13.04791066,13.2347833,11.86003091,10.70705614,10.65947574,9.981485987,8.644685642,7.342781333,7.777990583,8.167751143,7.903708304,7.169652353,6.635332545,6.483222756,6.432673456,6.572851391,7.966701165,7.301878468,7.520227962,7.6391594,7.416620206,7.627995492,8.204735606,8.363371447,..
Latin America & Caribbean,LCN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,11.22948482,12.05026351,12.95217847,11.49791787,11.10540577,10.95667537,10.09899223,9.489553816,9.874316481,9.269915116,10.03160282,12.53882664,13.73674044,11.00303432,9.952807439,10.77510133,11.2713125,10.92076496,13.06437825,11.54187893,10.80620426,14.86511478,12.91604376,10.84214402,10.77822759,9.571367362,10.36810963,12.01515835,11.33724969,10.44671343,9.538142729,9.098451167,9.789066635,8.982679995,9.976629278,8.569584508,8.850099686,8.475251145,7.528352619,7.907279112,8.371744816,8.735063391,7.806980332,6.955604201,6.34474488,6.914835353,7.560609629,8.148526958,7.458200439,7.611443381,7.312860407,7.495139195,7.18971046,7.31302495,8.155164228,..
Latin America & Caribbean,LCN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,46.02990091,45.14469875,49.46574166,49.11698356,48.28992882,49.82420174,47.61227331,45.65468283,46.01295013,45.69662076,46.30898639,41.56895198,39.36995018,39.36872802,40.98170565,42.25854229,38.96646818,35.31113055,30.3434693,28.26417076,26.82950546,27.74564495,27.76575174,27.23265655,31.09258049,27.45375365,26.69835826,24.87497589,24.48160792,25.05782846,23.3300227,23.22132379,24.25620893,23.62866204,23.53544673,23.88505218,23.87423112,22.5502451,19.05524843,20.81316376,20.8616804,21.2674829,20.0911367,18.83336976,18.03006184,20.06436857,19.25036186,22.12716165,20.26504843,19.81011678,19.82466013,20.66729304,23.35466122,25.58352066,26.6977308,..
Latin America & Caribbean (excluding high income),LAC,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,10.56603021,11.30281201,12.32988818,10.84013313,10.53676858,10.47552523,9.505971181,8.858018254,9.437943293,8.549095829,8.963096995,11.51726768,12.43370445,10.47654708,8.84478029,10.67134381,10.88550678,10.76288325,13.00185355,11.5609656,10.45487648,14.71715688,12.85966332,10.98188978,11.17714579,9.837280587,10.67781969,12.60328863,11.82285822,10.75314995,9.698395376,9.273001628,9.888702147,9.002233334,10.10597042,8.598679324,8.86766555,8.351748168,7.425094647,7.843629332,8.271928808,8.699861043,7.789850329,6.958004907,6.425198889,6.840742108,7.55740785,8.071810947,7.308839797,7.475166558,7.149008904,7.318337635,6.922427179,6.95205451,7.91316029,..
Latin America & Caribbean (excluding high income),LAC,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,49.7444482,48.76430589,53.42302145,53.09356877,52.12552194,53.92808552,51.97788451,49.89375463,50.25955941,49.51624731,50.34619454,45.42029407,42.88685398,42.39229996,44.2508698,45.34154498,41.58995698,37.72788211,32.01868777,29.46884778,27.67486781,28.68602567,28.5215119,27.74957097,31.75378107,27.83081576,27.19079041,25.19618119,24.65460536,25.01994626,22.96657041,22.84766506,24.10741642,23.53677799,23.19103481,23.67501546,23.36365051,21.96747118,18.44532506,20.2593983,20.1305597,20.5889403,19.82967585,18.71146019,18.16066173,20.47187308,19.149955,22.09826704,20.34389753,19.76071881,19.6451186,20.40399462,23.25772277,25.60400398,26.31582497,..
Latin America & the Caribbean (IDA & IBRD countries),TLA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,11.22948482,12.05026351,12.95217847,11.49791787,11.10540577,10.92503613,10.06819518,9.4601814,9.847237514,9.239788178,10.00099157,12.5111499,13.74214005,11.00225862,9.948109508,10.75335452,11.25030246,10.90528024,13.07464347,11.56171559,10.81871049,14.8991945,12.93873419,10.8489578,10.78398677,9.560164076,10.33571641,11.98881678,11.31476911,10.4122314,9.515913639,9.078576761,9.769268218,8.912583614,9.939367821,8.504904255,8.795804851,8.280960655,7.369398498,7.728006465,8.159423952,8.511197128,7.567667203,6.743028255,6.229926712,6.865935352,7.515577349,8.064746131,7.357788894,7.527305294,7.220478862,7.408002313,7.103666645,7.209661926,8.093396683,..
