Indicator name,indicator,Country name,country,time,value
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2000,7.25
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2001,7.41
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2002,7.53
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2003,7.44
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2004,7.23
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2005,7.23
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2006,7.41
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2007,7.33
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2008,7.49
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2009,7.71
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2010,7.68
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2011,7.69
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2012,7.73
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2013,7.88
Domestic food price level index,FAO-21018-6125,Cameroon,CMR,2014,7.81
Domestic food price level index,FAO-21018-6125,Canada,CAN,2000,1.18
Domestic food price level index,FAO-21018-6125,Canada,CAN,2001,1.2
Domestic food price level index,FAO-21018-6125,Canada,CAN,2002,1.2
Domestic food price level index,FAO-21018-6125,Canada,CAN,2003,1.19
Domestic food price level index,FAO-21018-6125,Canada,CAN,2004,1.19
Domestic food price level index,FAO-21018-6125,Canada,CAN,2005,1.2
Domestic food price level index,FAO-21018-6125,Canada,CAN,2006,1.21
Domestic food price level index,FAO-21018-6125,Canada,CAN,2007,1.21
Domestic food price level index,FAO-21018-6125,Canada,CAN,2008,1.2
Domestic food price level index,FAO-21018-6125,Canada,CAN,2009,1.23
Domestic food price level index,FAO-21018-6125,Canada,CAN,2010,1.24
Domestic food price level index,FAO-21018-6125,Canada,CAN,2011,1.24
Domestic food price level index,FAO-21018-6125,Canada,CAN,2012,1.24
Domestic food price level index,FAO-21018-6125,Canada,CAN,2013,1.25
Domestic food price level index,FAO-21018-6125,Canada,CAN,2014,1.25
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2005,5.67
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2006,5.81
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2007,5.77
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2008,5.8
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2009,5.74
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2010,5.79
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2011,5.8
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2012,5.78
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2013,5.76
Domestic food price level index,FAO-21018-6125,Cape Verde,CPV,2014,5.7
Domestic food price level index,FAO-21018-6125,Chad,TCD,2000,6.8
Domestic food price level index,FAO-21018-6125,Chad,TCD,2001,7.23
Domestic food price level index,FAO-21018-6125,Chad,TCD,2002,7.25
Domestic food price level index,FAO-21018-6125,Chad,TCD,2003,7.15
Domestic food price level index,FAO-21018-6125,Chad,TCD,2004,7.13
Domestic food price level index,FAO-21018-6125,Chad,TCD,2005,7.43
Domestic food price level index,FAO-21018-6125,Chad,TCD,2006,7.72
Domestic food price level index,FAO-21018-6125,Chad,TCD,2007,7.58
Domestic food price level index,FAO-21018-6125,Chad,TCD,2008,7.88
Domestic food price level index,FAO-21018-6125,Chad,TCD,2009,7.63
Domestic food price level index,FAO-21018-6125,Chad,TCD,2010,7.56
Domestic food price level index,FAO-21018-6125,Chad,TCD,2011,8.03
Domestic food price level index,FAO-21018-6125,Chile,CHL,2000,2.19
Domestic food price level index,FAO-21018-6125,Chile,CHL,2001,2.12
Domestic food price level index,FAO-21018-6125,Chile,CHL,2002,2.11
Domestic food price level index,FAO-21018-6125,Chile,CHL,2003,2.11
Domestic food price level index,FAO-21018-6125,Chile,CHL,2004,2.05
Domestic food price level index,FAO-21018-6125,Chile,CHL,2005,2.06
Domestic food price level index,FAO-21018-6125,Chile,CHL,2006,2.07
Domestic food price level index,FAO-21018-6125,Chile,CHL,2007,2.14
Domestic food price level index,FAO-21018-6125,Chile,CHL,2008,2.25
Domestic food price level index,FAO-21018-6125,Chile,CHL,2009,2.3
Domestic food price level index,FAO-21018-6125,Chile,CHL,2010,2.34
Domestic food price level index,FAO-21018-6125,Chile,CHL,2011,2.4
Domestic food price level index,FAO-21018-6125,Chile,CHL,2012,2.5
Domestic food price level index,FAO-21018-6125,Chile,CHL,2013,2.58
Domestic food price level index,FAO-21018-6125,Chile,CHL,2014,2.62
Domestic food price level index,FAO-21018-6125,China,CHN,2000,2.26
Domestic food price level index,FAO-21018-6125,China,CHN,2001,2.25
Domestic food price level index,FAO-21018-6125,China,CHN,2002,2.24
Domestic food price level index,FAO-21018-6125,China,CHN,2003,2.3
Domestic food price level index,FAO-21018-6125,China,CHN,2004,2.41
Domestic food price level index,FAO-21018-6125,China,CHN,2005,2.46
Domestic food price level index,FAO-21018-6125,China,CHN,2006,2.5
Domestic food price level index,FAO-21018-6125,China,CHN,2007,2.65
Domestic food price level index,FAO-21018-6125,China,CHN,2008,2.82
Domestic food price level index,FAO-21018-6125,China,CHN,2009,2.8
Domestic food price level index,FAO-21018-6125,China,CHN,2010,2.94
Domestic food price level index,FAO-21018-6125,China,CHN,2011,3.1
Domestic food price level index,FAO-21018-6125,China,CHN,2012,3.15
Domestic food price level index,FAO-21018-6125,China,CHN,2013,3.24
Domestic food price level index,FAO-21018-6125,China,CHN,2014,3.25
Domestic food price level index,FAO-21018-6125,Colombia,COL,2000,2.64
Domestic food price level index,FAO-21018-6125,Colombia,COL,2001,2.64
Domestic food price level index,FAO-21018-6125,Colombia,COL,2002,2.67
Domestic food price level index,FAO-21018-6125,Colombia,COL,2003,2.68
Domestic food price level index,FAO-21018-6125,Colombia,COL,2004,2.66
Domestic food price level index,FAO-21018-6125,Colombia,COL,2005,2.7
Domestic food price level index,FAO-21018-6125,Colombia,COL,2006,2.76
Domestic food price level index,FAO-21018-6125,Colombia,COL,2007,2.79
Domestic food price level index,FAO-21018-6125,Colombia,COL,2008,2.85
Domestic food price level index,FAO-21018-6125,Colombia,COL,2009,2.78
Domestic food price level index,FAO-21018-6125,Colombia,COL,2010,2.77
Domestic food price level index,FAO-21018-6125,Colombia,COL,2011,2.78
Domestic food price level index,FAO-21018-6125,Colombia,COL,2012,2.78
Domestic food price level index,FAO-21018-6125,Colombia,COL,2013,2.76
Domestic food price level index,FAO-21018-6125,Colombia,COL,2014,2.74
Domestic food price level index,FAO-21018-6125,Congo,COG,2000,6
Domestic food price level index,FAO-21018-6125,Congo,COG,2001,5.88
Domestic food price level index,FAO-21018-6125,Congo,COG,2002,5.88
Domestic food price level index,FAO-21018-6125,Congo,COG,2003,5.58
Domestic food price level index,FAO-21018-6125,Congo,COG,2004,5.06
Domestic food price level index,FAO-21018-6125,Congo,COG,2005,5.22
Domestic food price level index,FAO-21018-6125,Congo,COG,2006,5.44
Domestic food price level index,FAO-21018-6125,Congo,COG,2007,5.63
Domestic food price level index,FAO-21018-6125,Congo,COG,2008,5.58
Domestic food price level index,FAO-21018-6125,Congo,COG,2009,5.59
Domestic food price level index,FAO-21018-6125,Congo,COG,2010,5.97
Domestic food price level index,FAO-21018-6125,Congo,COG,2011,6.13
Domestic food price level index,FAO-21018-6125,Congo,COG,2012,6.38
Domestic food price level index,FAO-21018-6125,Congo,COG,2013,6.5
Domestic food price level index,FAO-21018-6125,Congo,COG,2014,6.29
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2000,6.6
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2001,6.55
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2002,6.58
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2003,6.59
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2004,6.62
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2005,6.84
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2006,6.85
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2007,3.17
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2008,3.41
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2009,3.35
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2010,3.35
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2011,3.35
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2012,3.3
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2013,3.28
Domestic food price level index,FAO-21018-6125,Costa Rica,CRI,2014,3.24
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2000,3.37
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2001,3.28
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2002,3.23
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2003,3.23
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2004,3.18
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2005,3.25
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2006,3.26
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2007,3.24
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2008,3.3
Domestic food price level index,FAO-21018-6125,Croatia,HRV,2009,3.21
