Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Angola,AGO,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,368504825.8,528873555.8,688508307,840031172.5,387034655.6,517163204.9,728859048.2,892609949,1104099935,1472209718,1870877460,2719244833,3421449079,4254580695,4655175862,5179054574,6534868427,7772334516,8896384125,10996982492,10599805694,9941656304,12233138227,..
Angola,AGO,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.653213722,7.026869166,9.002017942,12.91118241,6.290256828,5.664689564,8.156377022,5.839549975,6.198384339,6.250876536,5.060402948,5.191280189,5.242278337,4.805339317,6.62119707,6.180293181,5.845680969,6.069630075,6.50749254,7.547056779,9.122534471,9.831168609,10.01699586,..
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3852264.815,3949817.407,3902447.037,4035066.667,4373347.407,4436734.815,4880199.259,4245227.037,5126490,5434985.926,6436933.333,7046851.852,7487162.593,8181943.333,8575851.852,9000444.444,9341074.074,9292592.593,9485037.037,10237518.52,11699666.67,12131111.11,12777407.41,13195703.7,12913740.74,14095222.22,14969703.7,14804925.93,17968259.26,19127666.67,21082777.78,21201259.26,18323481.48,18757888.89,21990370.37,22785185.19,23836518.52,20693185.19,21550851.85,22611370,26391082.22,27843663.7
Antigua and Barbuda,ATG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.970872496,4.494591494,3.57760157,3.070102067,2.958127773,2.699248208,2.679306905,2.037322575,2.12784596,1.871292967,1.90907866,1.767733298,1.706301622,1.780738697,1.780307058,1.802680609,1.745431468,1.57653988,1.643054474,1.615436913,1.718979214,1.666680575,1.667635776,1.589539743,1.612725299,1.730291789,1.749526585,1.609971056,1.757817673,1.653204551,1.607652611,1.549311488,1.496707093,1.627626225,1.925529231,1.88087874,1.998166341,1.622261047,1.585560274,1.543827909,1.7476557,1.714718243
Argentina,ARG,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,..,..,..,..,..,3657647057,2942857061,2420909129,2570000119,2871142801,3043947529,3617599856,3815374911,6280333430,7410889160,3452513642,4171424984,4591960172,4358786868,5399103643,4889779677,5094736992,8090277995,9002848957,6601000167,6750000171,8653333202,8993333405,11330681730,7369454003,11483008747,12742527111,13706238946,12161011111,13084820500,13808477800,15269958100,15293015300,15702922200,12638962300,13300482400,12275651800,9974343869,13177395615,13769497386,15777249625,16129176943,21427791191,26462268579,17559926037,30213817111,37104716625,31567304378,33413631490,35330279235,30669352554,34926920031,35209336044,31835440626
Argentina,ARG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,12.90416299,10.27875747,9.980386317,9.721276985,9.185809648,9.637560964,10.86588238,10.98486987,11.95252249,10.23083775,6.583910492,8.152170712,8.087142114,7.504427478,7.796277359,6.353505005,6.475522961,9.596156046,8.658324961,8.345976837,7.634307257,7.80040264,8.094358464,8.977868218,9.616065096,8.123676208,6.71649176,5.990787091,5.136826482,5.082668,5.351464616,5.610866113,5.221972109,5.25272257,4.457826102,4.679910944,4.568589609,10.20664671,10.32816694,8.36248661,7.938754274,6.935572291,7.452353946,7.318954597,5.273623469,7.132167451,6.99873377,5.781744207,6.052918437,6.712703514,5.156685902,6.26456582,5.478382229,6.140205872
Armenia,ARM,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1902205026,2050215843,2098075398,1817614015,1728561492,1728457123,1702818692
Armenia,ARM,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.91268195,18.43476288,18.07203635,17.22312003,16.39047353,14.99426012,13.69586083
Aruba,ABW,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6681564.246,6703910.615,6586592.179,6793296.089,6603351.955,7681564.246,7779329.609,7808379.888,8112849.162,8727932.961,9012290.503,9546927.374,10597206.7,10451955.31,11005027.93,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.505997081,0.485804391,0.429949894,0.407981131,0.383292096,0.410021828,0.40514984,0.402215827,0.401381979,0.391652043,0.386673058,0.39375576,0.405233924,0.380728531,0.440397943,..,..,..,..,..,..,..,..,..
